no,Moisture_value,Class
1130,308,Wet
1131,308,Wet
1132,308,Wet
1133,308,Wet
1134,308,Wet
1135,308,Wet
1136,309,Wet
1137,309,Wet
1138,309,Wet
1139,309,Wet
1140,308,Wet
1141,308,Wet
1142,308,Wet
1143,308,Wet
1144,308,Wet
1145,308,Wet
1146,308,Wet
1147,308,Wet
1148,308,Wet
1149,308,Wet
1150,308,Wet
1151,308,Wet
1152,308,Wet
1153,308,Wet
1154,308,Wet
1155,308,Wet
1156,309,Wet
1157,309,Wet
1158,308,Wet
1159,308,Wet
1160,309,Wet
1161,309,Wet
1162,308,Wet
1163,309,Wet
1164,308,Wet
1165,309,Wet
1166,309,Wet
1167,308,Wet
1168,309,Wet
1169,308,Wet
1170,309,Wet
1171,309,Wet
1172,313,Wet
1173,310,Wet
1174,309,Wet
1175,310,Wet
1176,317,Wet
1177,313,Wet
1178,1024,Dry
1179,1024,Dry
1180,1024,Dry
1181,1024,Dry
1182,1024,Dry
1183,1024,Dry
1184,1024,Dry
1185,1024,Dry
1186,1024,Dry
1187,1024,Dry
1188,1024,Dry
1189,1024,Dry
1190,1024,Dry
1191,1024,Dry
1192,1024,Dry
1193,1024,Dry
1194,1024,Dry
1195,1024,Dry
1196,1024,Dry
1197,1024,Dry
1198,1024,Dry
1199,1024,Dry
1200,1024,Dry
1201,1024,Dry
1202,1024,Dry
1203,1024,Dry
1204,1024,Dry
1205,1024,Dry
1206,1024,Dry
1207,1024,Dry
1208,1024,Dry
1209,1024,Dry
1210,1024,Dry
1211,1024,Dry
1212,1024,Dry
1213,1024,Dry
1214,1024,Dry
1215,1024,Dry
1216,1024,Dry
1217,1024,Dry
1218,1024,Dry
1219,1024,Dry
1220,1024,Dry
1221,1024,Dry
1222,1024,Dry
1223,1024,Dry
1224,1024,Dry
1225,1024,Dry
1226,1024,Dry
1227,1024,Dry
1228,1024,Dry
1229,1024,Dry
1230,1024,Dry
1231,1024,Dry
1232,1024,Dry
1233,1024,Dry
1234,1024,Dry
1235,1024,Dry
1236,1024,Dry
1237,1024,Dry
1238,1024,Dry
1239,1024,Dry
1240,1024,Dry
1241,1024,Dry
1242,1024,Dry
1243,1024,Dry
1244,1024,Dry
1245,1024,Dry
1246,1024,Dry
1247,1024,Dry
1248,1024,Dry
1249,1024,Dry
1250,1024,Dry
1251,1024,Dry
1252,1024,Dry
1253,1024,Dry
1254,1024,Dry
1255,1024,Dry
1256,1024,Dry
1257,1024,Dry
