Moisture_value,PH,Temperature,Class
897,7.35,22.4,1
898,7.07,22.4,1
898,6.91,22.4,1
898,6.3,22.5,1
902,6.98,22.4,1
903,6.86,22.4,1
905,6.3,22.4,1
905,7.11,22.4,1
904,7.21,22.4,1
906,6.8,22.4,1
905,6.96,22.4,1
905,6.96,22.4,1
906,7.09,22.4,1
905,6.74,22.4,1
906,7.23,22.4,1
906,6.84,22.4,1
900,6.9,22.4,1
903,7.13,22.5,1
964,7.31,22.5,1
964,6,22.4,1
1005,6.84,22.4,1
1003,6.91,22.4,1
1002,6.94,22.4,1
1001,6.97,22.4,1
1000,6.3,22.4,1
1000,7.03,22.4,1
1000,6.4,22.4,1
999,7.08,22.4,1
999,6.97,22.4,1
1005,7.22,22.4,1
1005,6.3,22.4,1
1005,6.82,22.4,1
1005,6.72,22.5,1
1024,6.92,22.4,1
966,7.11,22.4,1
972,7.26,22.4,1
972,6.1,22.4,1
972,7.33,22.4,1
768,6.79,22.4,1
795,7.05,22.4,1
794,6.94,22.4,1
793,7.05,22.5,1
793,6.4,22.5,1
794,6.82,22.4,1
794,6.83,22.5,1
794,7.15,22.4,1
794,6.81,22.4,1
794,7.06,22.4,1
794,6.92,22.5,1
794,6.4,22.5,1
794,6.8,22.4,1
795,6.95,22.4,1
795,6.88,22.4,1
796,6.71,22.5,1
796,7.03,22.5,1
848,6.86,22.5,1
826,6.76,22.5,1
826,6.26,22.5,1
826,6.64,22.4,1
824,6.11,22.5,1
823,6.63,22.5,1
820,6.35,22.5,1
813,6.25,22.5,1
812,6.5,22.5,1
808,5.3,22.5,1
814,6.63,22.5,1
810,6.55,22.5,1
798,5.9,22.5,1
794,6.34,22.5,1
790,6.63,22.5,1
786,6.62,22.5,1
783,6.85,22.5,1
778,6.93,22.5,1
776,6.64,22.5,1
775,6.66,22.4,1
773,6.99,22.5,1
773,6.56,22.5,1
770,6.45,22.5,1
769,6.6,22.5,1
768,6.61,22.5,1
766,6.97,24.3,1
765,6.73,24.4,1
764,6.1,24.4,1
762,6.69,24.4,1
761,6.6,24.3,1
760,6.94,24.4,1
759,6.91,24.4,1
759,6,24.4,1
758,6.61,24.4,1
757,6.76,24.4,1
756,6.64,24.4,1
754,6.49,22.8,1
754,6.88,22.6,1
753,5.9,22.8,1
750,6.57,22.7,1
750,7.07,22.9,1
750,6.73,22.9,1
749,6,22.9,1
749,6.81,22.9,1
748,6,22.9,1
748,5.9,22.9,1
748,6.89,22.9,1
748,6.54,23,1
747,6.97,22.9,1
746,6.8,22.8,1
745,6.56,22.8,1
745,6.68,22.8,1
744,5.5,22.8,1
744,6.9,22.8,1
744,6.63,22.8,1
741,6.99,22.8,1
741,6.73,22.8,1
741,6.71,22.8,1
741,6.92,22.8,1
741,6.83,22.8,1
741,6.78,22.8,1
740,6.66,22.8,1
740,6.79,22.8,1
740,6.69,22.8,1
740,7.03,22.8,1
739,6.93,22.8,1
739,7.13,22.8,1
739,7.16,22.8,1
739,7.01,22.8,1
739,6.95,22.8,1
739,6.83,22.8,1
739,6.96,22.8,1
739,6.63,22.8,1
739,6.68,22.8,1
739,6.81,22.8,1
739,7.18,22.8,1
739,6.86,22.8,1
739,6.6,22.8,1
739,6.69,22.8,1
739,6.86,22.8,1
739,7.04,22.9,1
738,6.98,22.9,1
363,6.72,22.9,1
391,6.79,22.9,1
404,7.09,22.8,1
412,7.04,22.9,1
725,7.13,22.9,1
526,6.66,22.8,1
534,6.83,22.8,1
536,7.03,22.8,1
536,7.09,22.8,1
536,6.78,22.8,1
537,7.05,22.8,1
308,6.87,22.8,1
402,7.07,22.8,1
317,6.73,22.8,1
392,6.91,22.8,1
285,6.95,22.8,1
381,6.82,22.8,1
413,6.78,22.8,1
425,,22.9,1
402,6.97,22.9,1
412,7.06,22.9,1
424,7.04,22.9,1
428,7.13,22.8,1
429,7.08,22.9,1
433,6.41,22.9,1
6,7.08,22.9,1
434,7.1,22.9,1
436,7.08,22.9,1
437,7,22.9,1
437,6.93,22.9,1
438,7.04,22.9,1
438,6.69,22.8,1
427,7.2,22.9,1
905,6.99,22.8,1
321,7.01,22.8,1
313,7.06,22.9,1
413,7.09,22.8,1
440,5.75,22.9,1
397,7.05,22.8,1
415,7.03,22.8,1
416,7.05,22.8,1
416,6.78,22.9,1
546,6.97,22.8,1
547,6.85,22.9,1
237,7.12,22.8,1
328,6.96,22.8,1
343,6.1,22.8,1
405,6.95,22.8,1
325,6.96,22.8,1
433,6.91,22.8,1
447,7.05,22.8,1
277,6.91,22.8,1
384,7.05,22.8,1
356,7.09,22.8,1
248,6.33,22.8,1
310,7.03,22.8,1
441,6.98,22.8,1
449,6.5,22.8,1
450,7.11,22.8,1
451,6.97,22.8,1
454,7.12,22.8,1
456,7.13,22.8,1
457,7.04,22.8,1
459,7,22.8,1
459,6.66,22.8,1
459,6.63,22.8,1
459,6.75,22.8,1
458,6.46,22.8,1
459,6.7,22.7,1
457,6.35,22.7,1
457,6.65,22.7,1
457,6.44,22.7,1
457,6.7,22.7,1
457,6.43,22.7,1
457,6.58,22.7,1
457,6.76,22.7,1
457,6.43,22.7,1
457,6.99,22.7,1
456,6.88,22.7,1
456,6.66,22.7,1
